Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2021-01-01 00:00:00,298.23,364.67,29.50,25.72,37.74,46.77,10.19,1.50,13.29,12.79,27.12,2.24,NA,NA,NA,8.30,77.37,NA,87.60,NA,0.00,70.97,994.84,NA
2021-01-02 00:00:00,344.83,423.18,6.49,31.53,21.92,43.74,10.65,1.29,16.00,13.16,18.60,1.40,NA,NA,NA,12.09,70.13,NA,80.71,0.50,1.00,43.70,993.29,NA
2021-01-03 00:00:00,166.68,209.59,7.99,20.62,17.65,38.30,10.17,0.77,18.08,6.02,10.47,1.35,NA,NA,NA,14.01,72.55,NA,90.15,0.60,3.00,41.48,991.38,NA
2021-01-04 00:00:00,61.29,76.81,6.65,20.07,16.10,29.32,11.94,0.60,17.40,4.07,21.62,1.61,NA,NA,NA,16.08,73.79,NA,120.16,0.71,10.00,83.89,992.89,NA
2021-01-05 00:00:00,44.07,51.43,3.78,12.88,9.95,35.65,10.19,0.57,17.71,2.59,7.20,0.45,NA,NA,NA,16.36,73.88,NA,97.35,0.67,6.00,48.14,992.12,NA
2021-01-06 00:00:00,104.17,139.87,5.52,17.85,14.08,27.30,11.72,0.65,10.98,4.96,13.41,1.20,NA,NA,NA,16.80,74.10,NA,147.61,5.75,11.50,52.04,991.63,NA
2021-01-07 00:00:00,96.06,133.08,7.25,10.28,11.65,21.46,8.38,0.42,20.73,3.06,15.37,0.85,NA,NA,NA,15.34,73.11,NA,284.34,NA,0.00,56.69,991.39,NA
2021-01-08 00:00:00,137.23,215.67,7.65,14.08,13.78,18.17,21.05,0.50,17.08,3.58,21.31,0.98,NA,NA,NA,13.35,73.74,NA,156.18,NA,0.00,68.06,991.18,NA
2021-01-09 00:00:00,122.12,171.81,5.94,13.35,12.02,13.94,16.01,0.54,19.36,3.47,6.99,0.53,NA,NA,NA,14.94,71.05,NA,307.14,NA,0.00,80.85,991.82,NA
2021-01-10 00:00:00,113.10,158.71,3.71,11.29,9.02,15.82,13.40,0.44,28.25,2.96,20.60,0.57,NA,NA,NA,11.02,68.77,NA,274.44,NA,0.00,129.34,992.70,NA
2021-01-11 00:00:00,109.71,160.75,3.81,15.72,11.51,16.98,8.58,0.49,29.52,3.45,13.45,0.28,NA,NA,NA,11.02,70.20,NA,267.75,NA,0.00,130.96,993.04,NA
2021-01-12 00:00:00,150.90,205.54,6.04,17.99,14.48,18.24,8.67,0.71,24.18,5.50,38.47,0.82,NA,NA,NA,10.06,74.82,NA,266.66,NA,0.00,100.61,993.27,NA
2021-01-13 00:00:00,185.45,272.26,25.04,18.51,30.27,19.48,10.22,1.02,24.44,7.46,34.51,1.33,NA,NA,NA,8.80,73.08,NA,223.02,NA,0.00,105.60,992.38,NA
2021-01-14 00:00:00,249.36,320.51,12.52,23.20,22.41,16.64,11.47,1.10,17.51,9.11,24.44,2.18,NA,NA,NA,7.87,78.62,NA,40.60,NA,0.00,63.92,992.60,NA
