Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,222.29,354.54,45.72,44.58,61.81,3.12,7.67,1.41,14.24,1.06,9.06,1.23,NA,NA,NA,11.26,69.89,NA,143.30,0.00,0.00,104.91,998.12,NA
2022-01-02 00:00:00,233.46,346.61,46.00,47.26,63.55,3.41,12.78,1.37,11.39,1.24,13.79,1.45,NA,NA,NA,11.88,69.25,NA,202.18,0.00,0.00,103.63,997.12,NA
2022-01-03 00:00:00,235.69,370.61,38.70,46.15,57.23,3.49,8.48,1.43,17.99,1.09,13.60,1.28,NA,NA,NA,12.90,66.66,NA,237.24,0.00,0.00,113.85,995.26,NA
2022-01-04 00:00:00,231.05,364.12,40.94,48.72,58.97,3.53,7.65,1.32,14.20,1.28,16.37,1.94,NA,NA,NA,15.06,63.86,NA,142.28,0.00,0.00,90.89,994.60,NA
2022-01-05 00:00:00,243.12,324.54,32.16,30.37,41.29,4.02,4.87,1.39,7.92,1.80,8.32,1.34,NA,NA,NA,13.03,78.77,NA,54.09,0.13,12.50,20.37,993.85,NA
2022-01-06 00:00:00,102.20,150.92,3.58,20.13,13.43,6.78,6.49,0.94,10.43,1.01,4.13,0.59,NA,NA,NA,15.53,74.39,NA,79.20,0.00,0.00,80.57,993.53,NA
2022-01-07 00:00:00,66.12,92.04,2.68,20.22,12.93,4.86,5.64,0.81,10.83,0.84,3.64,0.60,NA,NA,NA,16.67,71.89,NA,105.10,0.00,0.00,73.85,993.12,NA
2022-01-08 00:00:00,38.97,48.16,1.14,11.27,6.93,5.08,5.02,0.67,25.01,0.34,2.48,0.16,NA,NA,NA,15.99,79.07,NA,100.45,0.93,89.50,24.96,992.72,NA
2022-01-09 00:00:00,33.24,42.69,1.12,9.43,5.93,4.80,4.42,0.59,NA,0.29,2.43,0.05,NA,NA,NA,14.21,79.14,NA,171.47,0.21,20.00,22.72,992.00,NA
2022-01-10 00:00:00,69.37,104.83,4.20,20.55,14.47,4.64,8.39,0.75,NA,0.59,5.47,0.12,NA,NA,NA,12.61,75.65,NA,229.77,0.00,0.00,102.96,994.61,NA
